Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Huso,Este,Norte,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Latitud,Longitud,Technology
76,1676,BESS Halcón 21,4507,oEnergy Development SpA,SUCTD,Audiencia y antecedentes adicionales,25 de octubre de 2023 14:12,300.0,Híbrido,x,,,300.0,,,,19.0,355360.98,7435172.36,30 de noviembre de 2026 00:00,Línea Chacaya - El Cobre 220 kV,220,En Derivación al Circuito N°2,Tap-Off,Antofagasta,Mejillones,Dedicada,-23.186136252258677,-70.41321250058077,BESS
80,1670,BESS Tambillo,,BESS El Salado SpA.,SAC,Solicitud Ingresada,20 de octubre de 2023 20:35,405.0,Híbrido,x,-,-,405.0,,,,19.0,430017.9,7760293.3,29 de diciembre de 2027 00:00,S/E Nueva Pozo Almonte 220kV,220,Barra 2,JX,Tarapacá,Pozo Almonte,Nacional,-20.253780211768674,-69.67008023781331,BESS
81,1668,BESS ALTILIUM,,Colbún S.A.,SAC,Solicitud Ingresada,20 de octubre de 2023 13:20,200.0,Híbrido,x,-,-,200.0,,,,,,,1 de diciembre de 2030 00:00,S/E Cumbre 220 kV,220,Barra 2,J12,Atacama,Diego de Almagro,Nacional,,,BESS
82,1666,BESS Saucache,,Solarpack Chile Limitada,SAC,Solicitud Ingresada,18 de octubre de 2023 14:07,200.0,Híbrido,x,-,-,200.0,,,,19.0,367635.0,7956536.0,30 de diciembre de 2028 00:00,S/E Parinacota 220 kV,220,Barra 220 kV,J4,Arica y Parinacota,Arica,Nacional,-18.477404127280916,-70.25368348818105,BESS
84,1660,BESS Don Ignacio I,,Solarpack Chile Limitada,SAC,Solicitud Ingresada,17 de octubre de 2023 11:22,300.0,Híbrido,x,-,-,300.0,,,,19.0,411055.0,7013629.0,30 de junio de 2028 00:00,S/E Carrera Pinto 220 kV,220,Barra 1,J16,Atacama,Copiapó,Nacional,-26.996568121969073,-69.89643685688965,BESS
85,1659,BESS El Aparecido,,Energy Head SpA,SUCTD,Solicitud ingresada,16 de octubre de 2023 13:09,40.0,Híbrido,x,-,-,40.0,,,,19.0,329165.92,6336129.01,31 de julio de 2026 00:00,Loma Los Colorados - Tap Punta Peuco 110 kV,110,Tap off,H2,Metropolitana de Santiago,Tiltil,Dedicada,-33.10006503412574,-70.83069139376198,BESS
86,1654,BESS del Desierto,,BESS del Desierto SpA,FEHACIENTES,Proyecto ingresado,12 de octubre de 2023 14:37,200.0,Híbrido,x,-,-,200.0,,,,19.0,441316.91,7544346.74,31 de diciembre de 2025 00:00,S/E Sol del Desierto 33 kV,33,"Barra Principal, sección 1 y 2",por definir,Antofagasta,Maria Elena,Dedicada,-22.205227679359933,-69.56933585844864,BESS
91,1643,BESS LA LIGUA ENERGIA 1,BESS LA LIGUA ENERGIA 2,BESS LA LIGUA ENERGIA 3,BESS LA LIGUA ENERGIA 4,BESS LA LIGUA ENERGIA 5,BESS LA LIGUA ENERGIA 6,150.0,Híbrido,x,-,-,150.0,,,,19.0,285594.77,6406423.78,31 de diciembre de 2027 00:00,Nueva S/E La Ligua 220 kV,220,Barra principal No 1 y 2,J10-J11,Valparaiso,La Ligua,Zonal,-32.45873523148703,-71.28108510214915,BESS
92,1642,BESS Halcón 12,4452,oEnergy Development SpA,SAC,Evaluación de antecedentes y/o requerimientos,3 de octubre de 2023 19:37,250.0,Híbrido,x,-,-,250.0,,,,19.0,445667.0,7535654.0,30 de noviembre de 2026 00:00,SE Crucero 220 kV,220,Barra Principal Seccion 1,J10,Antofagasta,Maria Elena,Nacional,-22.283899249557074,-69.52742715380019,BESS
93,1640,SAE Barro Blanco,4448,BIWO Renovables S.A.,SAC,Desarrollo de estudios y/o antecedentes,29 de septiembre de 2023 20:31,20.0,Híbrido,x,-,-,20.0,,,,18.0,661986.83,5506293.17,31 de diciembre de 2026 00:00,S/E Barro Blanco 66 kV,66,Barra Principal,B4,Los Lagos,Osorno,Zonal,-40.57830471797032,-73.08611511323157,BESS
