Dedicated tx lines,n_std,typical use,Design Capacity [MVA],Available Technical Capacity (+) 2023 [MVA],Av. Tec. Capacity (+) 2024 [MVA],Av. Tec. Capacity (+) 2025 [MVA],Av. Tec. Capacity (+) 2026 [MVA],Av. Tec. Capacity (+) 2027 [MVA],Av. Tec. Capacity (+) 2028 [MVA],Av. Tec. Capacity (+) 2029 [MVA],Av. Tec. Capacity (+) 2030 [MVA],Variation 2023->2030 [%],Available Technical Capacity (-) 2023 [MVA],Av. Tec. Capacity (-) 2024 [MVA],Av. Tec. Capacity (-) 2025 [MVA],Av. Tec. Capacity (-) 2026 [MVA],Av. Tec. Capacity (-) 2027 [MVA],Av. Tec. Capacity (-) 2028 [MVA],Av. Tec. Capacity (-) 2029 [MVA],Av. Tec. Capacity (-) 2030 [MVA],Variation 2023->2030 [%](-),Region
Línea 1x66 kV Capullo - Pulelfú,177,Inyección,29.8,18,18,18,18,18,18,18,18,"0,0%",29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,0%,Región de Los Lagos
Línea 1x110 kV Copihues - Aihuapi,177,Inyección,49.7,0,0,0,0,0,0,0,0,"0,0%",49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,0%,Región de Los Lagos
Línea 1x110 kV Palmar - Copihues ,177,Inyección,77,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,"0,0%",77,77,77,77,77,77,77,77,0%,Región de Los Lagos
Línea 1x66 kV Pulelfu - Central Pulelfú,177,Inyección,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,"0,0%",20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,0%,Región de Los Lagos
Línea 1x110 kV Rio Bonito - Antillanca,177,Mixto,107.3,72.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1,"0,0%",107,107,107,107,107,107,106.9,106.9,0%,Región de Los Lagos
Línea 2x220 kV Canutillar - Puerto Montt,178,Inyección,197.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,"0,0%",197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,0%,Región de Los Lagos
Línea 1x220 kV Puelche Sur - Frutillar Norte,179,Inyección,310.6,151.1,151.1,151.1,151.1,151.1,151.1,151.1,151.1,"0,0%",310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,0%,Región de Los Lagos
Línea 1x110 kV Central San Pedro Dalcahue - Chiloe ,180,Inyección,184.4,119.4,119.4,119.4,119.4,119.4,119.4,119.4,119.4,"0,0%",168.4,168.4,168.4,168.4,168.4,168.4,168.4,168.4,0%,Región de Los Lagos
Línea 1x220 kV Central Rucatayo - Rucatayo,191,Inyección,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región de Los Lagos
Línea 1x220 kV Rucatayo - Pichirrahue ,191,Inyección,204.6,39,39,39,39,39,39,39,39,"0,0%",204.6,204.6,204.6,204.6,204.6,204.6,204.6,204.6,0%,Región de Los Lagos
Línea 1x220 kV Aurora - Tap Aurora ,207,Inyección,307.1,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,"0,0%",307.1,307.1,307.1,307.1,307.1,307.1,307.1,307.1,0%,Región de Los Lagos
