,OBJECTID,ID_GE_TERM,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
157,2100,264,TRES PUENTES,EDELMAG S.A.,TERMOELECTRICA, ,GAS NATURAL-PETROLEO,72.31,8,286/2002-52/2006-144/2007,SISTEMA ELECTRICO DE MAGALLANES,OPERATIVA,12/31/1984 9:00 p. m.,372989,4114757,19 SUR,WGS 1984,MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.89711695999995 -53.10149569109462),-53.10149569109462,-70.89711695999995
158,2101,265,TRONGOL-CURANILAHUE,SAGESA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.4,5,132/2013,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/31/2012 8:00 p. m.,117942,5841835,19 SUR,WGS 1984,BIOBIO,ARAUCO,CURANILAHUE,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.32084321699995 -37.49140135208855),-37.49140135208855,-73.32084321699995
159,2102,267,UJINA,MINERA COLLAHUASI,TERMOELECTRICA, ,FUEL OIL NRO 6,44.130865,6,020/2008,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/29/2016 9:00 p. m.,542432,7680222,19 SUR,WGS 1984,TARAPACA,TAMARUGAL,PICA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-68.59178263899997 -20.978099769368576),-20.978099769368576,-68.59178263899997
160,2103,275,VENTANAS II,AES ANDES,TERMOELECTRICA, ,CARBON,193.459,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1976 9:00 p. m.,267340,6373587,19 SUR,WGS 1984,VALPARAISO,VALPARAISO,PUCHUNCAVI,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.48330669399996 -32.751008848141055),-32.751008848141055,-71.48330669399996
161,2104,276,VILLA O’HIGGINS,EDELAYSEN,TERMOELECTRICA, ,S/I,0.15,1, ,VILLA O'HIGGINS,OPERATIVA,,236845,4624666,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CAPITAN PRAT,O'HIGGINS,SEREMIA AYSEN,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.56091315199996 -48.476001037063845),-48.476001037063845,-72.56091315199996
162,2105,279,YUNGAY,CENTRAL YUNGAY S.A.,TERMOELECTRICA, ,PETROLEO DIESEL,197.58,4, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/20/2007 8:00 p. m.,207335,5888347,19 SUR,WGS 1984,BIOBIO,BIO-BIO,CABRERO,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.29331369899995 -37.105496356091884),-37.105496356091884,-72.29331369899995
163,2106,280,ZAPALLAR,ZAPALLAR SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.985,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/14/2019 9:00 p. m.,296881,6125556,19 SUR,WGS 1984,MAULE,CURICO,CURICO,COMISION NACIONAL DE ENERGIA,12/30/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.22551766499998 -34.992227288113234),-34.992227288113234,-71.22551766499998
164,2107,281,YUMBEL,ESPINOS S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.985,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/26/2019 8:00 p. m.,184820,5884776,19 SUR,WGS 1984,BIOBIO,BIO-BIO,YUMBEL,COMISION NACIONAL DE ENERGIA,3/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.54774564699994 -37.13032130909168),-37.13032130909168,-72.54774564699994
165,2108,282,LOS SAUCES,ESPINOS S.A.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.985,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/26/2019 8:00 p. m.,163350,5788680,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,LOS SAUCES,COMISION NACIONAL DE ENERGIA,3/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.83302853899994 -37.98709629108446),-37.98709629108446,-72.83302853899994
166,2109,283,GAMI,GENERADORA ELECTRICA GAMI LTDA.,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.875,6, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/28/2019 8:00 p. m.,146818,5508915,19 SUR,WGS 1984,LOS LAGOS,OSORNO,SAN PABLO,COMISION NACIONAL DE ENERGIA,3/30/2019 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.16726307099998 -40.49532993706808),-40.49532993706808,-73.16726307099998
