,OBJECTID,ID_GE_HIDRO,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
51,1452,85,EL COLORADO,DENER S. A.,HIDRAULICA PASADA,PMGD,NO APLICA,1.99,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/28/2016 9:00 p. m.,198247,5410039,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.60982291299996 -41.40456983806396),-41.40456983806396,-72.60982291299996
52,1453,86,EL DIUTO,MINICENTRAL HIDROELECTRICA EL DIUTO LTDA.,HIDRAULICA PASADA,PMGD,NO APLICA,3.2918,1,209/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/19/2011 9:00 p. m.,227294,5853750,19 SUR,WGS 1984,BIOBIO,BIO-BIO,LOS ANGELES,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.08169893999997 -37.422927867089086),-37.422927867089086,-72.08169893999997
53,1454,87,EL GALPON,ENERBOSCH S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,1.2858,1,095/2015,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/27/2016 8:00 p. m.,298403,6098374,19 SUR,WGS 1984,MAULE,TALCA,RIO CLARO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.21547583999995 -35.23745600711049),-35.23745600711049,-71.21547583999995
54,1455,89,EL LLANO,ELECTRICA PUNTILLA S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,1.9079,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/22/2013 9:00 p. m.,357549,6278711,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,CORDILLERA,PIRQUE,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.53570537499996 -33.62187738112959),-33.62187738112959,-70.53570537499996
55,1456,90,EL MANZANO (MELIPEUCO),HIDROELECTRICA EL MANZANO S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,4.85,1,193/2007,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/2007 9:00 p. m.,255831,5697510,19 SUR,WGS 1984,LA ARAUCANIA,CAUTIN,MELIPEUCO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.81309923999999 -38.83736767807815),-38.83736767807815,-71.81309923999999
56,1457,93,EL MIRADOR,HIDROELECTRICA EL MIRADOR S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,2.9996,1,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/1/2015 9:00 p. m.,270545,5802539,19 SUR,WGS 1984,BIOBIO,BIO-BIO,ALTO BIOBIO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.60954908299993 -37.89576677808523),-37.89576677808523,-71.60954908299993
57,1458,94,MOCHO,HIDROMOCHO S.A.,HIDRAULICA PASADA, ,NO APLICA,14.77,1,104/2011,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/5/2021 9:00 p. m.,225031,5495950,19 SUR,WGS 1984,LOS RIOS,RANCO,RIO BUENO,COMISION NACIONAL DE ENERGIA,2/24/2011 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.25166654499999 -40.64153281206741),-40.64153281206741,-72.25166654499999
58,1459,95,EL PASO,HIDROELECTRICA EL PASO LTDA.,HIDRAULICA PASADA, ,NO APLICA,59.64,3,217/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/1/2016 9:00 p. m.,370443,6130064,19 SUR,WGS 1984,LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,SAN FERNANDO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.41910015599996 -34.96369019811357),-34.96369019811357,-70.41910015599996
59,1460,96,EL PINAR,EL PINAR SPA,HIDRAULICA PASADA, ,NO APLICA,11.3778,2,294/2013,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/20/2022 9:00 p. m.,265246,5886970,19 SUR,WGS 1984,NUBLE,DIGUILLIN,YUNGAY,COMISION NACIONAL DE ENERGIA,10/16/2012 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.64279088899997 -37.134204583091666),-37.134204583091666,-71.64279088899997
60,1461,98,EL RINCON (RM),SCM,HIDRAULICA PASADA,PMG,NO APLICA,0.284665,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/12/2007 8:00 p. m.,356731,6286882,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.54320875999997 -33.54809585913049),-33.54809585913049,-70.54320875999997
61,1462,100,EL TARTARO,WENKE Y CIA. LTDA.,HIDRAULICA PASADA,PMGD,NO APLICA,0.1037,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/31/2010 8:00 p. m.,341243,6395974,19 SUR,WGS 1984,VALPARAISO,SAN FELIPE,PUTAENDO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.69106065199998 -32.562296851143664),-32.562296851143664,-70.69106065199998
62,1463,102,EL TORO,ENEL GENERACION,HIDRAULICA EMBALSE, ,NO APLICA,446.869,4, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1972 9:00 p. m.,282528,5871789,19 SUR,WGS 1984,BIOBIO,BIO-BIO,ANTUCO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.45282707099994 -37.27509950409039),-37.27509950409039,-71.45282707099994
63,1464,103,EL TORO 2,ENERNUEVAS S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,1.11,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/25/2010 9:00 p. m.,390187,7762870,19 SUR,WGS 1984,TARAPACA,IQUIQUE,ALTO HOSPICIO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.05126600199998 -20.22862824138714),-20.22862824138714,-70.05126600199998
64,1465,104,EL TRARO,EDELAYSEN,HIDRAULICA PASADA, ,NO APLICA,0.64,2, ,SISTEMA ELECTRICO DE AYSEN,OPERATIVA,12/31/1986 9:00 p. m.,225866,4763080,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CAPITAN PRAT,COCHRANE,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.62146556299996 -47.228493676059706),-47.228493676059706,-72.62146556299996
65,1466,107,ANCOA,HIDROELECTRICA EMBALSE ANCOA,HIDRAULICA PASADA, ,NO APLICA,24.113,2,176/2014,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/15/2018 9:00 p. m.,302553,6030154,19 SUR,WGS 1984,MAULE,LINARES,COLBUN,COMISION NACIONAL DE ENERGIA,12/22/2013 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.18652861699996 -35.85295059010395),-35.85295059010395,-71.18652861699996
66,1467,109,ENSENADA,HIDROELECTRICA ENSENADA S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,1.2,3,136/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/22/2013 8:00 p. m.,203417,5424998,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,PUERTO VARAS,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.54078899099994 -41.2720045320645),-41.2720045320645,-72.54078899099994
67,1468,111,EYZAGUIRRE,SCM,HIDRAULICA PASADA,PMGD,NO APLICA,1.8715,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/2002 9:00 p. m.,359847,6280276,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.51069291399995 -33.60807190612975),-33.60807190612975,-70.51069291399995
68,1469,112,FLORIDA,SCM,HIDRAULICA PASADA,PMG,NO APLICA,5.9868,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1908 7:17 p. m.,356418,6287038,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.54655407699994 -33.54664725613055),-33.54664725613055,-70.54655407699994
