Fecha y Hora;Nombre Central;Generación Real (MWh)
18-07-2023 5:00;PFV ANDES SOLAR II-B;0
18-07-2023 6:00;PFV ANDES SOLAR II-B;0
18-07-2023 7:00;PFV ANDES SOLAR II-B;0
18-07-2023 8:00;PFV ANDES SOLAR II-B;3
18-07-2023 9:00;PFV ANDES SOLAR II-B;52
18-07-2023 10:00;PFV ANDES SOLAR II-B;11
18-07-2023 11:00;PFV ANDES SOLAR II-B;10
18-07-2023 12:00;PFV ANDES SOLAR II-B;10
18-07-2023 13:00;PFV ANDES SOLAR II-B;16
18-07-2023 14:00;PFV ANDES SOLAR II-B;20
18-07-2023 15:00;PFV ANDES SOLAR II-B;20
18-07-2023 16:00;PFV ANDES SOLAR II-B;20
18-07-2023 17:00;PFV ANDES SOLAR II-B;21
18-07-2023 18:00;PFV ANDES SOLAR II-B;29
18-07-2023 19:00;PFV ANDES SOLAR II-B;96
18-07-2023 20:00;PFV ANDES SOLAR II-B;102
18-07-2023 21:00;PFV ANDES SOLAR II-B;102
18-07-2023 22:00;PFV ANDES SOLAR II-B;102
18-07-2023 23:00;PFV ANDES SOLAR II-B;24
18-07-2023 23:59;PFV ANDES SOLAR II-B;0
19-07-2023 1:00;PFV ANDES SOLAR II-B;0
19-07-2023 2:00;PFV ANDES SOLAR II-B;0
19-07-2023 3:00;PFV ANDES SOLAR II-B;0
19-07-2023 4:00;PFV ANDES SOLAR II-B;0
19-07-2023 5:00;PFV ANDES SOLAR II-B;0
19-07-2023 6:00;PFV ANDES SOLAR II-B;0
19-07-2023 7:00;PFV ANDES SOLAR II-B;0
19-07-2023 8:00;PFV ANDES SOLAR II-B;2
19-07-2023 9:00;PFV ANDES SOLAR II-B;5
19-07-2023 10:00;PFV ANDES SOLAR II-B;5
19-07-2023 11:00;PFV ANDES SOLAR II-B;5
19-07-2023 12:00;PFV ANDES SOLAR II-B;10
19-07-2023 13:00;PFV ANDES SOLAR II-B;93
19-07-2023 14:00;PFV ANDES SOLAR II-B;100
19-07-2023 15:00;PFV ANDES SOLAR II-B;37
19-07-2023 16:00;PFV ANDES SOLAR II-B;51
19-07-2023 17:00;PFV ANDES SOLAR II-B;48
19-07-2023 18:00;PFV ANDES SOLAR II-B;8
19-07-2023 19:00;PFV ANDES SOLAR II-B;102
19-07-2023 20:00;PFV ANDES SOLAR II-B;102
19-07-2023 21:00;PFV ANDES SOLAR II-B;102
19-07-2023 22:00;PFV ANDES SOLAR II-B;102
19-07-2023 23:00;PFV ANDES SOLAR II-B;15
19-07-2023 23:59;PFV ANDES SOLAR II-B;0
20-07-2023 1:00;PFV ANDES SOLAR II-B;0
20-07-2023 2:00;PFV ANDES SOLAR II-B;0
20-07-2023 3:00;PFV ANDES SOLAR II-B;0
20-07-2023 4:00;PFV ANDES SOLAR II-B;0
